Location;Parameter;Analytical Method;Calculated Method;Qual;Result;Units;MDL;ML;RL;Sampling Date;Sampling Time;Analysis Date;Analysis Time;Review Priority Indicator;QA Codes;Comments;Facility Name;Report Name;Latitude;Longitude;Receiving Water Body
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;600;mg/L;28,0;;;2011-02-08;00:00:00;2011-02-09;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;68902;lb/day;;;;2012-01-04;00:00:00;2012-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2012;;;Los Angeles River
R-4;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;612;mg/L;28,0;;;2011-02-15;08:30:00;2011-02-16;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;68902;lb/day;;;;2012-01-31;00:00:00;2012-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2012;;;Los Angeles River
R-7;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;612;mg/L;28,0;;;2011-02-15;08:40:00;2011-02-16;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;73151;lb/day;;;;2011-02-08;00:00:00;2011-02-28;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;73151;lb/day;;;;2011-02-28;00:00:00;2011-02-28;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;600;mg/L;28,0;;;2011-02-28;00:00:00;2011-02-28;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;616;mg/L;28,0;;;2011-03-03;00:00:00;2011-03-08;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;88433;lb/day;;;;2011-03-03;00:00:00;2011-03-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;88433;lb/day;;;;2011-03-31;00:00:00;2011-03-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;616;mg/L;28,0;;;2011-03-31;00:00:00;2011-03-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;592;mg/L;28,0;;;2011-04-03;00:00:00;2011-04-05;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;78252;lb/day;;;;2011-04-03;00:00:00;2011-04-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;78252;lb/day;;;;2011-04-30;00:00:00;2011-04-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;592;mg/L;28,0;;;2011-04-30;00:00:00;2011-04-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;484;mg/L;28,0;;;2011-05-02;00:00:00;2011-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;46970;lb/day;;;;2011-05-02;00:00:00;2011-05-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
R-4;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;652;mg/L;28,0;;;2011-05-03;09:00:00;2011-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;46970;lb/day;;;;2011-05-31;00:00:00;2011-05-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
R-7;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;652;mg/L;28,0;;;2011-05-03;09:15:00;2011-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;64535;lb/day;;;;2011-06-04;00:00:00;2011-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;484;mg/L;28,0;;;2011-05-31;00:00:00;2011-05-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;64535;lb/day;;;;2011-06-30;00:00:00;2011-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;580;mg/L;25,0;25,0;25,0;2011-06-04;00:00:00;2011-06-07;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;51431;lb/day;;;;2011-07-06;00:00:00;2011-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;51431;lb/day;;;;2011-07-31;00:00:00;2011-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;580;mg/L;25,0;;25,0;2011-06-30;00:00:00;2011-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;564;mg/L;25,0;25,0;25,0;2011-07-06;00:00:00;2011-07-07;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;52124;lb/day;;;;2011-08-01;00:00:00;2011-08-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
