cenario,horizonte_anos,p5,p50,p95,media,desvio
agravamento_climatico,10,560.6194038809473,682.441225345508,808.4953596885279,682.1359669052185,75.87998148551912
agravamento_climatico,15,576.2126052039004,697.4325777601317,826.4671320802219,698.0369213866917,75.40963802119258
agravamento_climatico,20,591.4497804553826,714.2818089717447,841.8477059943674,715.6955262428328,76.2411778777916
normal,10,536.1325008724189,662.6368517703501,787.9444576117061,661.2607913838127,76.6084130458182
normal,15,532.9272170206424,658.5483015975246,783.7383942166705,659.4967212605375,75.87114698342208
normal,20,529.4769763638546,657.8943965434282,782.8690930170205,657.8179401896872,78.71980343526526
seco,10,596.044474885689,720.9841779430596,852.0512345969896,720.3562053321012,76.54942899835048
seco,15,594.98436115177,719.9064590145558,848.2918267084959,719.8871547327981,77.87221794027053
seco,20,588.0549760722043,717.7977658095696,845.8615727212648,717.6694991042615,77.83131271016876
umido,10,470.45367174340356,597.4063392654205,720.6217060125979,596.0785945972806,76.79148561160837
umido,15,469.75120204207695,594.8703810817781,723.0570883620635,596.1380181298549,77.34874116850851
umido,20,462.3110355465352,594.0289670050952,721.4563402836022,593.748864164616,77.37774048859814
