ano;tds_origem_ponderado;tds_aqueduct;pct_aqueduct;tds_mwd_media_3etas;pct_mwd;tds_groundwater_media;pct_groundwater;tds_efluente_lagwrp
2011;229,3;168,0;67,0;396,7;23,0;258,0;9,0;562,7272727272727
2012;356,3;231,0;30,0;410,0;59,0;415,0;10,0;617,3333333333334
2013;427,9;276,0;11,0;453,3;77,0;399,0;10,0;679,5
2014;500,6;307,0;11,0;530,0;71,0;503,0;16,0;728,6666666666666
2015;542,4;350,0;5,0;566,0;77,0;489,0;16,0;807,6666666666666
2016;519,5;233,0;5,0;551,3;79,0;442,0;14,0;777,8333333333334
2017;379,8;165,0;33,0;513,3;51,0;400,0;14,0;653,3333333333334
2018;436,4;254,0;20,0;493,7;65,0;431,0;13,0;674,3333333333334
2019;312,5;172,0;44,0;443,3;40,0;380,0;14,0;635,6666666666666
2020;418,4;246,0;28,0;503,3;58,0;410,0;12,0;709,8333333333334
2021;443,6;213,0;20,0;523,3;65,0;400,0;13,0;749,0
2022;466,7;260,0;15,0;523,3;70,0;400,0;13,0;767,5
2023;336,3;190,0;45,0;486,7;40,0;380,0;13,0;655,6666666666666
2024;352,2;252,0;59,0;519,7;36,0;291,5;2,0;700,1666666666666
