ano_relatorio;fonte;tds_medio_mg_L;tds_min_mg_L;tds_max_mg_L;pct_abastecimento_cidade
2004;LA Aqueduct Filtration Plant;245;228;265;30
2004;Southern Combined Wells;394;245;542;
2004;Northern Combined Wells;394;245;542;
2004;Lower Stone Canyon Reservoir;253;244;272;
2004;MWD Diemer;435;370;521;
2004;MWD Jensen;275;266;286;
2004;MWD Weymouth;445;371;515;
2004;MWD_total_agregado;;;;59
2004;Local_Groundwater_agregado;;;;11
2005;LA Aqueduct Filtration Plant;193;92;269;60
2005;Northern Combined Wells;351;168;496;
2005;Southern Combined Wells;351;204;464;
2005;MWD Diemer;468;426;528;
2005;MWD Jensen;302;270;328;
2005;MWD Weymouth;452;391;532;
2005;MWD_total_agregado;;;;30
2005;Local_Groundwater_agregado;;;;10
2024;LA Aqueduct Filtration Plant;252;232;267;59
2024;Northern Combined Wells;265;215;362;
2024;Southern Combined Wells;318;249;391;
2024;MWD Jensen;306;291;322;
2024;MWD Diemer;621;556;686;
2024;MWD Weymouth;632;573;690;
2024;MWD_total_agregado;;;;36
2024;Local_Groundwater_agregado;;;;2
2024;Recycled_agregado;;;;3
2006;LA Aqueduct Filtration Plant;195;138;225;60
2006;Northern Combined Wells;451;184;468;
2006;Southern Combined Wells;451;251;490;
2006;MWD Diemer;378;307;458;
2006;MWD Jensen;273;236;304;
2006;MWD Weymouth;344;270;481;
2006;MWD_total_agregado;;;;30
2006;Local_Groundwater_agregado;;;;10
2007;LA Aqueduct Filtration Plant;258;243;270;20
2007;Northern Combined Wells;427;248;498;
2007;Southern Combined Wells;427;248;608;
2007;MWD Diemer;469;394;519;
2007;MWD Jensen;267;248;285;
2007;MWD Weymouth;437;348;509;
2007;MWD_total_agregado;;;;67
2007;Local_Groundwater_agregado;;;;13
2008;LA Aqueduct Filtration Plant;265;241;292;23
2008;Northern Combined Wells;345;269;482;
2008;Southern Combined Wells;345;269;672;
2008;MWD Diemer;569;505;668;
2008;MWD Jensen;307;283;333;
2008;MWD Weymouth;565;487;678;
2008;MWD_total_agregado;;;;68
2008;Local_Groundwater_agregado;;;;9
2009;LA Aqueduct Filtration Plant;274;242;311;24
2009;Northern Combined Wells;400;260;501;
2009;Southern Combined Wells;400;275;511;
2009;MWD Weymouth;620;510;660;
2009;MWD Diemer;610;530;640;
2009;MWD Jensen;330;310;340;
2009;MWD_total_agregado;;;;63
2009;Local_Groundwater_agregado;;;;12
2009;Recycled_agregado;;;;1
2010;LA Aqueduct Filtration Plant;226;210;267;47
2010;Northern Combined Wells;391;225;491;
2010;Southern Combined Wells;391;326;522;
2010;MWD Weymouth;570;470;630;
2010;MWD Diemer;590;470;610;
2010;MWD Jensen;330;290;330;
2010;MWD_total_agregado;;;;39
2010;Local_Groundwater_agregado;;;;13
2010;Recycled_agregado;;;;1
2011;LA Aqueduct Filtration Plant;168;101;202;67
2011;Northern Combined Wells;258;144;394;
2011;Southern Combined Wells;258;194;468;
2011;MWD Weymouth;440;390;480;
2011;MWD Diemer;470;440;490;
2011;MWD Jensen;280;280;290;
2011;MWD_total_agregado;;;;23
2011;Local_Groundwater_agregado;;;;9
2011;Recycled_agregado;;;;1
2012;LA Aqueduct Filtration Plant;231;204;245;30
2012;Northern Combined Wells;415;214;464;
2012;Southern Combined Wells;415;230;483;
2012;MWD Weymouth;470;450;490;
2012;MWD Diemer;500;490;500;
2012;MWD Jensen;260;240;280;
2012;MWD_total_agregado;;;;59
