Data;TDS_mgL;Chloride_mgL;Ammonia_mgL;BOD_foi_ND;BOD_mgL
2011-02-28;600;156,0;0,68;True;0,0
2011-03-31;616;130,0;0,81;True;0,0
2011-04-30;592;114,0;0,87;True;0,0
2011-05-31;484;109,0;0,94;True;0,0
2011-06-30;580;118,0;0,79;True;0,0
2011-07-31;564;131,0;0,9;;
2011-08-31;528;109,0;0,86;True;0,0
2011-09-30;582;123,0;0,95;True;0,0
2011-10-31;446;124,0;0,91;True;0,0
2011-11-30;584;109,0;0,92;True;0,0
2011-12-31;614;122,0;1,01;True;0,0
2012-01-31;580;125,0;0,89;True;0,0
2012-02-29;598;112,0;1,06;True;0,0
2012-03-31;620;129,0;0,85;True;0,0
2012-04-30;602;131,0;0,88;True;0,0
2012-05-31;608;134,0;0,95;True;0,0
2012-06-30;686;135,0;1,11;False;3,0
2012-07-31;512;128,0;0,87;False;3,0
2012-08-31;646;135,0;1,01;False;3,0
2012-09-30;634;141,0;1,1;False;4,0
2012-10-31;676;127,0;1,08;False;3,0
2012-11-30;618;144,0;1,18;False;3,0
2012-12-31;628;126,0;1,04;False;3,0
2013-01-31;614;121,0;1,04;False;3,0
2013-02-28;680;146,0;1,19;False;3,0
2013-03-31;580;146,0;1,36;False;3,0
2013-04-30;616;145,0;1,47;False;3,0
2013-05-31;692;160,0;1,07;False;3,0
2013-06-30;722;156,0;1,34;False;3,0
2013-07-31;720;148,0;1,39;True;0,0
2013-08-31;706;132,0;0,95;True;0,0
2013-09-30;716;156,0;0,89;True;0,0
2013-10-31;702;151,0;1,26;True;0,0
2013-11-30;718;149,0;1,14;True;0,0
2013-12-31;688;152,0;1,64;False;3,0
2014-01-31;696;140,0;1,43;False;3,0
2014-02-28;676;153,0;1,26;True;0,0
2014-03-31;588;125,0;1,26;True;0,0
2014-04-30;742;156,0;1,19;False;3,0
2014-05-31;748;148,0;1,04;False;3,0
2014-06-30;792;169,0;1,14;False;3,0
2014-07-31;750;159,0;1,52;True;0,0
2014-08-31;752;158,0;1,48;False;3,0
2014-09-30;734;162,0;1,17;False;3,0
2014-10-31;804;150,0;1,38;False;3,0
2014-11-30;692;149,0;1,98;False;3,0
2014-12-31;770;158,0;1,44;False;3,0
2015-01-31;686;152,0;1,67;True;0,0
2015-02-28;772;156,0;1,43;True;0,0
2015-03-31;724;143,0;1,08;True;0,0
2015-04-30;826;160,0;1,78;False;3,0
2015-05-31;848;172,0;1,77;True;0,0
2015-06-30;872;165,0;1,22;True;0,0
2015-07-31;858;165,0;1,77;True;0,0
2015-08-31;850;162,0;1,97;True;0,0
2015-09-30;820;162,0;1,47;True;0,0
2015-10-31;772;162,0;1,39;True;0,0
2015-11-30;868;163,0;1,97;True;0,0
2015-12-31;796;177,0;1,2;True;0,0
2016-01-31;764;160,0;1,21;True;0,0
2016-02-29;660;152,0;2,17;True;0,0
2016-03-31;722;173,0;0,97;False;3,0
2016-04-30;836;166,0;1,02;True;0,0
2016-05-31;800;172,0;1,03;False;3,0
2016-06-30;842;162,0;1,16;True;0,0
2016-07-31;790;167,0;1,43;True;0,0
2016-08-31;772;164,0;1,52;True;0,0
2016-09-30;786;161,0;1,41;True;0,0
2016-10-31;778;168,0;1,67;True;0,0
2016-11-30;778;168,0;1,35;True;0,0
2016-12-31;806;163,0;1,23;True;0,0
2017-01-31;756;161,0;1,06;True;0,0
2017-02-28;738;174,0;1,2;True;0,0
2017-03-31;682;159,0;1,56;True;0,0
2017-04-30;628;134,0;1,29;True;0,0
2017-05-31;670;169,0;1,19;True;0,0
2017-06-30;658;135,0;1,13;True;0,0
2017-07-31;590;152,0;1,03;True;0,0
2017-08-31;634;133,0;1,11;True;0,0
2017-09-30;656;148,0;1,47;True;0,0
2017-10-31;596;142,0;1,83;True;0,0
2017-11-30;634;80,0;2,18;True;0,0
2017-12-31;598;138,0;2,19;False;3,0
2018-01-31;632;145,0;1,64;True;0,0
2018-02-28;618;157,0;1,38;True;0,0
2018-03-31;664;141,0;1,52;True;0,0
2018-04-30;658;149,0;1,47;True;0,0
2018-05-31;644;145,0;1,57;True;0,0
2018-06-30;818;151,0;1,02;True;0,0
2018-07-31;608;134,0;1,06;True;0,0
2018-08-31;732;165,0;1,19;True;0,0
2018-09-30;722;150,0;1,15;False;3,0
2018-10-31;720;151,0;1,13;True;0,0
2018-11-30;732;160,0;1,48;True;0,0
2018-12-31;544;155,0;1,52;True;0,0
2019-01-31;702;152,0;1,49;True;0,0
2019-02-28;652;138,0;1,25;True;0,0
2019-03-31;664;146,0;1,72;False;3,0
2019-04-30;636;141,0;1,79;False;4,0
2019-05-31;642;144,0;1,75;True;0,0
2019-06-30;614;141,0;1,23;False;3,0
2019-07-31;592;135,0;1,76;True;0,0
2019-08-31;608;132,0;1,6;True;0,0
2019-09-30;614;137,0;1,74;True;0,0
2019-10-31;644;141,0;1,35;True;0,0
2019-11-30;618;134,0;1,48;True;0,0
2019-12-31;642;157,0;1,38;True;0,0
2020-01-31;614;138,0;1,12;True;0,0
2020-02-29;684;135,0;1,98;True;0,0
2020-03-31;706;149,0;2,3;False;3,0
2020-04-30;698;134,0;1,46;False;3,0
2020-05-31;694;144,0;1,64;False;3,0
2020-06-30;760;148,0;1,57;False;3,0
2020-07-31;736;147,0;1,37;False;3,0
2020-08-31;760;150,0;1,19;True;0,0
2020-09-30;726;148,0;1,36;True;0,0
2020-10-31;668;137,0;1,51;True;0,0
2020-11-30;750;154,0;1,32;True;0,0
2020-12-31;722;130,0;1,72;True;0,0
2021-01-31;734;126,0;1,32;True;0,0
2021-02-28;752;144,0;1,5;True;0,0
2021-03-31;612;128,0;1,38;False;3,0
2021-04-30;740;151,0;1,54;True;0,0
2021-05-31;756;147,0;1,96;True;0,0
2021-06-30;748;139,0;1,41;True;0,0
2021-07-31;776;132,0;1,29;True;0,0
2021-08-31;784;125,0;1,14;True;0,0
2021-09-30;816;159,0;1,58;True;0,0
2021-10-31;746;157,0;1,22;True;0,0
2021-11-30;790;164,0;1,3;True;0,0
2021-12-31;734;151,0;1,08;True;0,0
2022-01-31;742;149,0;1,46;True;0,0
2022-02-28;762;150,0;1,39;True;0,0
2022-03-31;764;156,0;2,56;True;0,0
2022-04-30;722;146,0;1,8;True;0,0
2022-05-31;742;157,0;1,31;True;0,0
2022-06-30;784;138,0;1,38;True;0,0
2022-07-31;782;134,0;1,41;True;0,0
2022-08-31;836;134,0;1,2;True;0,0
2022-09-30;760;132,0;1,28;True;0,0
2022-10-31;786;131,0;1,61;True;0,0
2022-11-30;764;164,0;1,96;True;0,0
2022-12-31;766;139,0;1,19;False;3,0
2023-01-31;746;153,0;1,34;True;0,0
2023-02-28;742;155,0;1,54;False;4,0
2023-03-31;680;111,0;1,92;False;3,0
2023-04-30;556;131,0;1,62;False;4,0
2023-05-31;632;134,0;1,18;False;3,0
2023-06-30;654;133,0;1,24;False;4,0
2023-07-31;654;125,0;1,3;False;3,0
2023-08-31;662;112,0;1,49;True;0,0
2023-09-30;626;130,0;1,45;True;0,0
2023-10-31;630;132,0;1,31;True;0,0
2023-11-30;660;118,0;1,29;False;3,0
2023-12-31;626;116,0;1,36;True;0,0
2024-01-31;598;137,0;1,2;True;0,0
2024-02-29;624;128,0;1,18;True;0,0
2024-03-31;718;151,0;1,28;False;3,0
2024-04-30;680;139,0;1,5;False;3,0
2024-05-31;730;146,0;1,48;False;3,0
2024-06-30;732;120,0;1,13;False;3,0
2024-07-31;688;136,0;1,62;True;0,0
2024-08-31;684;133,0;1,35;False;3,0
2024-09-30;718;135,0;1,39;False;3,0
2024-10-31;788;108,0;1,58;True;0,0
2024-11-30;702;130,0;1,59;False;3,0
2024-12-31;740;144,0;1,54;True;0,0
2025-01-31;704;148,0;1,44;False;3,0
2025-02-28;772;152,0;1,5;False;3,0
2025-03-31;736;152,0;1,56;True;0,0
2025-04-30;752;153,0;2,03;False;3,0
2025-05-31;652;135,0;1,5;False;3,0
