Data,TDS_mgL
2011-02-28,600
2011-03-31,616
2011-04-30,592
2011-05-31,484
2011-06-30,580
2011-07-31,564
2011-08-31,528
2011-09-30,582
2011-10-31,446
2011-11-30,584
2011-12-31,614
2012-01-31,580
2012-02-29,598
2012-03-31,620
2012-04-30,602
2012-05-31,608
2012-06-30,686
2012-07-31,512
2012-08-31,646
2012-09-30,634
2012-10-31,676
2012-11-30,618
2012-12-31,628
2013-01-31,614
2013-02-28,680
2013-03-31,580
2013-04-30,616
2013-05-31,692
2013-06-30,722
2013-07-31,720
2013-08-31,706
2013-09-30,716
2013-10-31,702
2013-11-30,718
2013-12-31,688
2014-01-31,696
2014-02-28,676
2014-03-31,588
2014-04-30,742
2014-05-31,748
2014-06-30,792
2014-07-31,750
2014-08-31,752
2014-09-30,734
2014-10-31,804
2014-11-30,692
2014-12-31,770
2015-01-31,686
2015-02-28,772
2015-03-31,724
2015-04-30,826
2015-05-31,848
2015-06-30,872
2015-07-31,858
2015-08-31,850
2015-09-30,820
2015-10-31,772
2015-11-30,868
2015-12-31,796
2016-01-31,764
2016-02-29,660
2016-03-31,722
2016-04-30,836
2016-05-31,800
2016-06-30,842
2016-07-31,790
2016-08-31,772
2016-09-30,786
2016-10-31,778
2016-11-30,778
2016-12-31,806
2017-01-31,756
2017-02-28,738
2017-03-31,682
2017-04-30,628
2017-05-31,670
2017-06-30,658
2017-07-31,590
2017-08-31,634
2017-09-30,656
2017-10-31,596
2017-11-30,634
2017-12-31,598
2018-01-31,632
2018-02-28,618
2018-03-31,664
2018-04-30,658
2018-05-31,644
2018-06-30,818
2018-07-31,608
2018-08-31,732
2018-09-30,722
2018-10-31,720
2018-11-30,732
2018-12-31,544
2019-01-31,702
2019-02-28,652
2019-03-31,664
2019-04-30,636
2019-05-31,642
2019-06-30,614
2019-07-31,592
2019-08-31,608
2019-09-30,614
2019-10-31,644
2019-11-30,618
2019-12-31,642
2020-01-31,614
2020-02-29,684
2020-03-31,706
2020-04-30,698
2020-05-31,694
2020-06-30,760
2020-07-31,736
2020-08-31,760
2020-09-30,726
2020-10-31,668
2020-11-30,750
2020-12-31,722
2021-01-31,734
2021-02-28,752
2021-03-31,612
2021-04-30,740
2021-05-31,756
2021-06-30,748
2021-07-31,776
2021-08-31,784
2021-09-30,816
2021-10-31,746
2021-11-30,790
2021-12-31,734
2022-01-31,742
2022-02-28,762
2022-03-31,764
2022-04-30,722
2022-05-31,742
2022-06-30,784
2022-07-31,782
2022-08-31,836
2022-09-30,760
2022-10-31,786
2022-11-30,764
2022-12-31,766
2023-01-31,746
2023-02-28,742
2023-03-31,680
2023-04-30,556
2023-05-31,632
2023-06-30,654
2023-07-31,654
2023-08-31,662
2023-09-30,626
2023-10-31,630
2023-11-30,660
2023-12-31,626
2024-01-31,598
2024-02-29,624
2024-03-31,718
2024-04-30,680
2024-05-31,730
2024-06-30,732
2024-07-31,688
2024-08-31,684
2024-09-30,718
2024-10-31,788
2024-11-30,702
2024-12-31,740
2025-01-31,704
2025-02-28,772
2025-03-31,736
2025-04-30,752
2025-05-31,652
2025-06-30,710
2025-07-31,682
2025-08-31,622
2025-09-30,634
2025-10-31,690
2025-11-30,688
2025-12-31,654
2026-01-31,700
2026-02-28,728
2026-03-31,716
