Data,pdsi
1895-01-31,2.23
1895-02-28,1.72
1895-03-31,1.35
1895-04-30,1.03
1895-05-31,1.41
1895-06-30,1.36
1895-07-31,1.23
1895-08-31,1.1
1895-09-30,1.56
1895-10-31,-0.5
1895-11-30,-0.85
1895-12-31,-1.22
1896-01-31,1.25
1896-02-29,-1.0
1896-03-31,0.29
1896-04-30,1.75
1896-05-31,2.52
1896-06-30,2.93
1896-07-31,2.89
1896-08-31,2.99
1896-09-30,2.77
1896-10-31,2.62
1896-11-30,3.0
1896-12-31,2.7
1897-01-31,2.29
1897-02-28,3.0
1897-03-31,3.48
1897-04-30,-0.59
1897-05-31,-1.0
1897-06-30,-1.18
1897-07-31,-1.35
1897-08-31,-1.3
1897-09-30,-1.2
1897-10-31,-0.53
1897-11-30,-0.79
1897-12-31,-1.21
1898-01-31,-2.13
1898-02-28,-2.33
1898-03-31,-2.89
1898-04-30,-3.28
1898-05-31,-2.41
1898-06-30,-2.0
1898-07-31,-1.81
1898-08-31,-1.72
1898-09-30,-1.34
1898-10-31,-1.53
1898-11-30,-1.87
1898-12-31,-2.56
1899-01-31,-2.35
1899-02-28,-3.08
1899-03-31,0.99
1899-04-30,0.39
1899-05-31,0.6
1899-06-30,0.86
1899-07-31,0.85
1899-08-31,0.82
1899-09-30,0.42
1899-10-31,1.91
1899-11-30,2.44
1899-12-31,2.3
1900-01-31,-0.28
1900-02-28,-0.98
1900-03-31,-1.39
1900-04-30,0.34
1900-05-31,0.9
1900-06-30,1.33
1900-07-31,1.4
1900-08-31,1.15
1900-09-30,0.97
1900-10-31,1.74
1900-11-30,2.39
1900-12-31,1.55
1901-01-31,1.99
1901-02-28,2.47
1901-03-31,1.38
1901-04-30,1.65
1901-05-31,1.83
1901-06-30,1.91
1901-07-31,1.82
1901-08-31,1.72
1901-09-30,2.28
1901-10-31,2.14
1901-11-30,-0.14
1901-12-31,-0.92
1902-01-31,-2.02
1902-02-28,1.18
1902-03-31,1.23
1902-04-30,1.4
1902-05-31,1.53
1902-06-30,1.71
1902-07-31,1.67
1902-08-31,1.49
1902-09-30,0.96
1902-10-31,1.23
1902-11-30,1.68
1902-12-31,1.41
1903-01-31,1.73
1903-02-28,1.14
1903-03-31,2.01
1903-04-30,-0.19
1903-05-31,-0.45
1903-06-30,-0.53
1903-07-31,-0.7
1903-08-31,-0.76
1903-09-30,-0.84
1903-10-31,-1.28
1903-11-30,0.88
1903-12-31,-0.68
1904-01-31,-1.36
1904-02-29,1.5
