Data,pdsi
1895-01-31,2.16
1895-02-28,-0.23
1895-03-31,-0.15
1895-04-30,-0.37
1895-05-31,0.28
1895-06-30,0.38
1895-07-31,0.39
1895-08-31,0.42
1895-09-30,0.18
1895-10-31,0.35
1895-11-30,-0.07
1895-12-31,-0.82
1896-01-31,-0.85
1896-02-29,-1.8
1896-03-31,-1.32
1896-04-30,-1.19
1896-05-31,-1.16
1896-06-30,-1.37
1896-07-31,-1.48
1896-08-31,-1.37
1896-09-30,-1.4
1896-10-31,1.16
1896-11-30,1.07
1896-12-31,0.69
1897-01-31,1.05
1897-02-28,1.51
1897-03-31,1.68
1897-04-30,-0.62
1897-05-31,-0.69
1897-06-30,-0.74
1897-07-31,-0.78
1897-08-31,0.04
1897-09-30,0.03
1897-10-31,1.3
1897-11-30,-0.59
1897-12-31,-1.32
1898-01-31,-1.64
1898-02-28,-2.3
1898-03-31,-2.53
1898-04-30,-3.12
1898-05-31,-2.88
1898-06-30,-3.7
1898-07-31,-4.1
1898-08-31,-4.05
1898-09-30,-3.62
1898-10-31,-3.68
1898-11-30,-3.98
1898-12-31,-4.25
1899-01-31,-3.95
1899-02-28,-4.38
1899-03-31,-4.04
1899-04-30,-4.2
1899-05-31,-4.31
1899-06-30,-4.2
1899-07-31,-4.19
1899-08-31,-4.01
1899-09-30,-3.89
1899-10-31,-2.64
1899-11-30,-2.36
1899-12-31,-2.64
1900-01-31,-2.93
1900-02-28,-3.68
1900-03-31,-4.03
1900-04-30,-3.9
1900-05-31,-3.56
1900-06-30,-4.31
1900-07-31,-4.62
1900-08-31,-4.56
1900-09-30,-4.26
1900-10-31,-3.98
1900-11-30,1.76
1900-12-31,0.85
1901-01-31,1.06
1901-02-28,1.53
1901-03-31,0.6
1901-04-30,0.51
1901-05-31,1.16
1901-06-30,1.46
1901-07-31,1.61
1901-08-31,1.63
1901-09-30,1.52
1901-10-31,2.35
1901-11-30,-0.46
1901-12-31,-1.49
1902-01-31,-1.98
1902-02-28,0.0
1902-03-31,0.3
1902-04-30,0.02
1902-05-31,0.02
1902-06-30,0.17
1902-07-31,0.31
1902-08-31,0.26
1902-09-30,0.03
1902-10-31,0.07
1902-11-30,0.57
1902-12-31,0.55
1903-01-31,-0.47
1903-02-28,-0.7
1903-03-31,1.16
1903-04-30,2.13
1903-05-31,2.14
1903-06-30,2.45
1903-07-31,2.54
1903-08-31,2.53
1903-09-30,2.51
1903-10-31,-0.43
1903-11-30,-1.17
