metodo,tendencia_mgL_ano,tendencia_pvalor,tendencia_ic90_baixo,tendencia_ic90_alto,rmse_holdout,mae_holdout,r2_holdout,forecast_10y,ci90_low_10y,ci90_high_10y,forecast_15y,ci90_low_15y,ci90_high_15y,forecast_20y,ci90_low_20y,ci90_high_20y,script,tratamento_nd_bod,data_execucao,ordem_sarima,hiperparametros,prob_tendencia_positiva,tempo_execucao_s,git_commit,mase_holdout,smape_holdout,cv_rmse_media,cv_rmse_desvio,cv_mae_media,cv_mae_desvio,cv_mase_media,cv_mase_desvio,cv_smape_media,cv_smape_desvio,backtest_mae_36m,backtest_n_origens_36m,backtest_mae_60m,backtest_n_origens_60m,ic90_width_10y,ic90_width_15y,ic90_width_20y
mann_kendall_sen,3.9064171122994646,0.0056071867536127,1.6909722222222223,6.105247813411079,51.05220800620712,40.72342995169081,-0.6578595729030075,767.5187165775401,711.9430456526045,822.677611304262,787.0508021390374,720.3979067637156,853.2038503713173,806.5828877005347,728.8527678748267,883.7300894383727,script_01_mann_kendall_theilsen,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:27:24,,,,,,0.5343897872503018,5.7509343659316885,92.31494260952576,36.40500754852558,80.24017914997276,33.736249488503844,1.0825797287529493,0.4615983929753786,11.003104290645298,4.685586762547783,144.97141432744866,15.0,203.8863876247675,11.0,110.73456565165748,132.80594360760176,154.87732156354605
theil_sen,3.9064171122994646,0.0055862715899367,1.6909722222222223,6.104456824512536,51.05220800620712,40.72342995169081,-0.6578595729030075,767.5187165775401,711.9430456526045,822.6577689064991,787.0508021390374,720.3979067637156,853.1800530290617,806.5828877005347,728.8527678748267,883.7023371516244,script_01_mann_kendall_theilsen,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:27:24,,,,,,0.5343897872503018,5.7509343659316885,92.31494260952576,36.40500754852558,80.24017914997276,33.736249488503844,1.0825797287529493,0.4615983929753786,11.003104290645298,4.685586762547783,144.97141432744866,15.0,203.8863876247675,11.0,110.7147232538946,132.7821462653461,154.84956927679775
ols,3.743706712541596,0.0047251492457397,1.5801186299941825,5.90729479508901,49.235822255660125,39.36769151182839,-0.5419882757075303,760.7647406072451,627.1167916248435,894.4126895896468,779.4832741699531,642.3706026449815,916.5959456949248,798.2018077326611,656.879301429617,939.5243140357052,script_01_mann_kendall_theilsen,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:27:24,,,,,,0.5165992235059271,5.567229145005409,84.77573980479778,30.41076134980484,72.62212543994308,27.81182302665497,0.981302863739217,0.3905324178485442,10.026764719465294,3.872799729090697,133.47088251198574,15.0,190.0696109109263,11.0,267.2958979648033,274.22534304994315,282.64501260608813
stl_tendencia_linear,2.9173784551573982,0.0039652299604259,1.2646927197160365,4.57006419059876,46.07754256798241,37.41435257725751,-0.3505084294801699,744.7309773457379,673.3152502343338,816.1467044571419,759.3178696215249,684.1672330455881,834.4685061974617,773.9047618973119,694.3334179115963,853.4761058830276,script_02_arima_sarima,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:29:09,,,,,,0.4909666974905264,5.299642666816837,85.99793914758143,30.1704485396049,73.96824946038382,27.23999752096289,1.001436678480675,0.3936898937472623,10.174135409648892,3.7139257496906377,126.1025035978214,15.0,174.4852370949202,11.0,142.83145422280813,150.3012731518736,159.14268797143131
sarima,10.43427854074785,1.771610410816036e-46,,,48.37718264228132,38.37766289946543,-0.4886747647052512,815.7925611763861,130.06382105738055,1501.5213012953918,868.967035324927,-94.31822858068516,1832.2522992305392,922.141509473468,-332.29084011568887,2176.5738590626247,script_02_arima_sarima,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:29:09,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None",,,,,0.5036076562396147,5.469271525966309,90.82151637950024,35.539003458856264,78.51991870976079,34.750880144619465,1.0677126359792772,0.5076371223885213,10.652519878073896,4.467684454630104,149.9464683256536,15.0,148.91841095846004,11.0,1371.4574802380112,1926.5705278112243,2508.864699178313
random_forest,-0.2483083733615092,0.0504544319327501,,,40.985827074196536,34.0943431872343,-0.0685284452350911,704.347353627575,665.5400000000001,742.6990347490347,704.347353627575,665.5400000000001,742.6990347490347,704.347353627575,665.5400000000001,742.6990347490347,script_03_random_forest_gridsearch,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:30:51,,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",,,,0.5502189005769713,5.929922021710202,75.11508787212064,26.17153344529932,62.2979705040836,22.748522767894173,0.8390858522613186,0.3196639470676969,8.797606615778921,3.40183550682956,97.40736567291782,15.0,78.33565645901722,11.0,77.15903474903462,77.15903474903462,77.15903474903462
xgboost,-0.907158501878928,0.1000831914517837,,,49.52464713481688,39.75313186645508,-0.5601323843002319,649.60791015625,637.6052856445312,708.139404296875,717.5686645507812,683.2332763671875,717.5686645507812,649.60791015625,637.6052856445312,708.139404296875,script_04_xgboost_lightgbm,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:32:55,,"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 300, 'device': 'cuda'}",,,,0.4981503584635066,5.482744690535436,71.28622699838066,17.29681451759169,60.1358866373698,15.231636217549047,0.8052806170985184,0.2088465421112342,8.530835881651743,2.3944257271287146,82.6656005859375,15.0,53.64602938565341,11.0,70.53411865234375,34.33538818359375,70.53411865234375
lightgbm,-0.5093268206681416,0.1352117374095247,,,44.41850483257356,37.69863787304582,-0.25500816892097,703.5298657430666,631.6232472642373,770.9677707726271,703.5298657430666,631.6232472642373,770.9677707726271,703.5298657430666,631.6232472642373,770.9677707726271,script_04_xgboost_lightgbm,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:32:55,,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'device': 'cpu'}",,,,0.6282402150170388,6.744753112151557,67.89964140195798,29.65105426376659,54.4555468430447,27.750751709979543,0.7308917341392676,0.3830445976753174,7.74083276846859,4.058906933063224,94.37907762638014,15.0,53.41336031192128,11.0,139.34452350838978,139.34452350838978,139.34452350838978
prophet,3.810618354338844,9.970103554706726e-12,,,48.9656650729859,40.47328315358417,-0.5251129071959277,636.8874689536251,491.8876575078269,780.0459027297735,625.8728731208196,417.4362948907904,835.1972397659407,604.8189667747031,306.03820948407486,879.2136477860873,script_05_prophet_bayesiano,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:41:43,,,,,,0.5311072569138315,5.791175955976819,106.70125412537864,34.71176181389816,91.8544143050592,29.857083384366,1.238442396707371,0.4212332340084717,12.928106063276726,4.281980195277003,187.5146949029148,15.0,248.8228960645621,11.0,288.1582452219466,417.7609448751503,573.1754383020125
regressao_bayesiana,3.7420048006760407,0.0024999999999999,1.522497974324612,5.861114014072947,49.29045059889449,39.40477280117919,-0.5454119210137525,758.2095854418662,624.2308678180779,893.0960875078031,778.7281343817336,636.4230144637219,917.1505544744437,797.6584312375343,658.1146696301304,937.7996283620168,script_05_prophet_bayesiano,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:41:43,,,0.99875,,,0.5165992235059271,5.567229145005409,84.77573980479778,30.41076134980484,72.62212543994308,27.81182302665497,0.981302863739217,0.3905324178485442,10.026764719465294,3.872799729090697,133.47088251198574,15.0,190.0696109109263,11.0,268.8652196897252,280.7275400107218,279.68495873188635
