Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2011-02-28,600,0.0,59,14.618505195843325,14.618305355715428,6.343908932890462,6.422227789184784,569.0162160278577,615.3725084171566,28.387438155782462
2011-03-31,616,0.08487337440109514,90,17.213437042573734,17.21361372440509,6.322208399001153,6.393552469727401,556.801275062849,597.9771064727411,28.672300783733803
2011-04-30,592,0.16700889801505817,120,15.849212521874394,15.84942572257983,6.336178817000073,6.385056075170171,564.6346117074728,592.9179796430759,29.6186862710584
2011-05-31,484,0.2518822724161533,151,11.636145628951384,11.636195630651445,6.366601948797819,6.38909727181416,582.0765386529808,595.3189258729526,30.903515124392882
2011-06-30,580,0.33401779603011633,181,13.341395848838172,13.341868877779133,6.3479313552480265,6.385208993125039,571.3096490628942,593.0086543806482,30.822586939084
2011-07-31,564,0.4188911704312115,212,10.934018742452846,10.934153440606297,6.355298768110573,6.376389897989027,575.5342662605353,587.8018480485797,31.23643691921535
2011-08-31,528,0.5037645448323066,243,11.836894121066784,11.836402437682882,6.331437645146857,6.370945717152001,561.9639180906066,584.6104436652854,31.112031951393856
2011-09-30,582,0.5859000684462696,273,11.43559379300683,11.435729465208322,6.3417023887673265,6.386016887821542,567.7620408457161,593.4879365061779,31.29099118662004
2011-10-31,446,0.6707734428473648,304,14.043563355593552,14.043281503829194,6.323375290099071,6.426672749000845,557.4513807415269,618.1139026689964,31.251339743896708
2011-11-30,584,0.7529089664613279,334,15.447915640090669,15.447825226057686,6.337712227073252,6.4783800644513825,565.5010922739621,650.915650345109,31.747153894303747
2011-12-31,614,0.837782340862423,365,15.849209882908005,15.848960176121398,6.36678750675768,6.509572923211403,582.1845576095548,671.539557382203,32.83227813048563
2012-01-31,580,0.9226557152635181,31,14.244190854213182,14.244604316546765,6.409694511426769,6.5149431911906674,607.7080048505949,675.1556056476296,34.32488996589219
2012-02-29,598,1.002053388090349,60,15.949648308109364,15.949383350462488,6.385347614642869,6.498221222696102,593.0908638382734,663.9595458502424,34.81230695430356
2012-03-31,620,1.0869267624914443,91,14.34458884505299,14.344803227185697,6.405185719701613,6.4796284187406386,604.9741438633449,651.7287310899876,35.99500693446416
2012-04-30,602,1.1690622861054072,121,14.344670443047557,14.344554890438795,6.41046292876389,6.475395075408535,608.1751576786085,648.9755712589525,36.5619633515651
2012-05-31,608,1.2539356605065024,152,13.742624321595354,13.742438884713126,6.420600554089867,6.4787113289282106,614.371966953882,651.1313112959136,37.10490120698694
2012-06-30,686,1.3360711841204653,182,11.435458047556123,11.43529620747846,6.442557396186543,6.475858883361992,628.0108203563358,649.276641104399,37.871415174975525
2012-07-31,512,1.4209445585215605,213,10.031193794964029,10.030725419664268,6.451256904175432,6.467004571280408,633.4980389494553,643.5531194134807,38.031773466640956
2012-08-31,646,1.5058179329226558,244,10.031108240342707,10.031086242117416,6.442073532658029,6.460552112393808,627.7070223291734,639.4139875190953,38.02864167217543
2012-09-30,634,1.5879534565366187,274,9.329066715082194,9.328707246968383,6.46550400576559,6.47165941303694,642.5881499765334,646.5557402871652,38.091384497884334
2012-10-31,676,1.672826830937714,305,9.22871170519206,9.228837402518929,6.5006677548844385,6.505205027442924,665.5859329438753,668.6127392626635,38.459904412986894
2012-11-30,618,1.754962354551677,335,11.736436093843372,11.73644417799094,6.474665472794319,6.546230555194093,648.5022496749287,696.6133729412045,39.32483108641263
2012-12-31,628,1.839835728952772,366,15.247292611770458,15.247801758593129,6.425819461352047,6.570558322489313,617.5866986706167,713.7682447674334,39.600802208170364
2013-01-31,614,1.9247091033538672,31,13.3413790140526,13.34106268704045,6.471212999685047,6.576640714577222,646.2671735867646,718.1228930058145,41.12149803949531
2013-02-28,680,2.001368925393566,59,12.639300324446326,12.639203705528727,6.478710595145656,6.563210736840414,651.1308335072919,708.5429914616061,42.01893694995345
2013-03-31,580,2.086242299794661,90,12.539072190523443,12.53900988798003,6.472047806026641,6.546701595783583,646.8069067766385,696.941583409199,42.796676687695154
2013-04-30,616,2.1683778234086244,120,12.538929895045005,12.538658728189862,6.46969374116348,6.54010635130458,645.2860721381626,692.360207532436,43.372493649888355
2013-05-31,692,2.2532511978097194,151,10.833645222550285,10.833333333333332,6.497658842326096,6.535999404800829,663.5862530112996,689.5225522365845,44.11617284345382
2013-06-30,722,2.3353867214236823,181,11.435560692720063,11.43546701100658,6.475782479089661,6.5271016384422555,649.2270354901584,683.4145557283201,44.165446075698874
2013-07-31,720,2.4202600958247777,212,8.426258992805755,8.426502041609956,6.53054457830345,6.514386153449798,685.7715661382041,674.7796232222465,44.20577272182638
2013-08-31,706,2.5051334702258727,243,7.523386390038111,7.523072451130006,6.55152717556352,6.50799383255244,700.3128582577486,670.4799723506052,43.77919257986937
2013-09-30,716,2.5872689938398357,273,7.824243398577228,7.8245096230707745,6.554598453397463,6.517992118662566,702.4670199373444,677.2172474225392,43.976724697308434
2013-10-31,702,2.6721423682409307,304,9.429379573264464,9.429542458748234,6.5361122490297845,6.546999418562868,689.6003652676324,697.1491794004426,44.869510757951915
2013-11-30,718,2.754277891854894,334,9.22860597316019,9.228590282136706,6.577701687783223,6.583061403218639,718.8852064794855,722.7485706347715,45.41249212806761
2013-12-31,688,2.839151266255989,365,13.24120935809492,13.241512053515082,6.4897695809954845,6.6054984921098105,658.3716443975391,739.1482369539609,46.23580946691624
2014-01-31,696,2.924024640657084,31,10.833746795666912,10.833333333333334,6.555513605188107,6.6102309455454655,703.1101781373104,742.6545116643832,47.30937116491665
2014-02-28,676,3.0006844626967832,59,11.234976515828755,11.234933621730066,6.532837918124977,6.595645877113187,687.3460781347466,731.9014524613865,47.999866429750085
2014-03-31,588,3.0855578370978782,90,14.846082317819214,14.846043165467623,6.44202838369741,6.579204334507752,627.6786826493003,719.9662489893965,47.63703745097878
2014-04-30,742,3.167693360711841,120,12.03743204896999,12.037293242329214,6.493385421265874,6.567352996822482,660.7565201687794,711.484047845497,48.974971015150984
2014-05-31,748,3.252566735112936,151,8.727189371497454,8.727072396137144,6.565781203089313,6.556248863473494,710.3666200908683,703.6273358202629,49.33262789836605
